VendorID	trip_distance	fare_amount	total_amount
1	1.2	6	7.3
2	13.69	42	43.3
2	0.95	6.5	10.14
2	1.24	6.5	7.8
2	1.1	7	8.3
1	1.9	8	15.05
2	0	17.5	18.8
2	0.66	5	6.3
2	1.72	7	10.38
2	1.37	7.5	8.8
2	2.14	9	15.7
2	0.01	13	13.3
2	7.74	56	57.3
2	25.08	65.5	73.35
2	0	7	7.3
2	0	7	9.49
2	11.4	42	49.85
2	9.08	31	38.85
2	1.4	6.5	7.8
2	5.76	19.5	24.96
2	5.69	20.5	24.55
2	5.65	16.5	17.8
2	3.27	13	14.3
2	1.04	6	7.3
2	5.63	14	14.3
2	9.81	28.5	29.8
2	3.25	12	17.65
2	1.12	5.5	8.16
2	2.58	10.5	14.55
2	2.19	9	10.3
2	10.13	29	36.36
2	3.5	13.5	14.8
2	2.96	10	14.05
2	0.31	3.5	4.8
2	0.79	6	7.3
2	2.71	14	14.3
2	1.94	9.5	12.8
2	4.6	15.5	16.8
2	0	20	20.3
2	0.82	5	6.3
2	7.42	22	23.3
2	4.96	16.5	17.8
2	8.28	27	28.3
2	8.45	25	26.3
2	1.11	6	8.76
2	13.16	45.5	46.8
2	3.16	9.2	10
2	23.12	91	98.85
2	0	2.5	3.8
2	1.15	6	7.3
2	0	7.3	7.6
2	8.25	24.5	25.8
2	19.99	52	59.35
2	2.76	11.5	12.8
1	0	10.2	11
1	5	16	24.05
2	0	2.5	3.8
1	1.4	7	10.75
2	7.71	24	25.3
2	8.46	28	38.46
2	30.59	82	89.85
2	33.82	87.5	115.44
2	2.47	9	10.3
2	21.33	73	80.85
2	1.59	7	7.8
2	0.96	5.5	7.56
2	1.67	7.5	9.96
2	6.79	25.5	26.3
2	2.31	10	10.8
1	0	24.2	25
2	15.63	52	59.35
2	0.03	12	12.8
2	17.64	57.5	64.85
2	4.12	15	15.8
1	9	35.7	36
2	15.89	47.5	54.85
2	18.8	57	64.35
2	0.03	52	52.8
2	2.77	10.5	16.86
2	6.39	21.5	30.06
1	0	15.2	16
2	7.14	22	25.55
2	4.04	16.5	17.3
2	4.37	18	25
2	3.63	12	12.8
1	1.9	7.5	10.55
1	1	4.5	5.3
1	0.5	4	4.8
1	1.4	7	7.8
1	4.3	14	21.05
2	5.47	32.5	39.85
2	20.57	64.5	78.4
2	5.71	18	18.81
2	10	43.5	44.3
2	0.06	52	52.8
2	19.73	63.5	70.85
2	17.54	52	69.35
2	0.21	-12	-12.8
2	0.21	12	12.8
2	2.5	9.5	16.31
2	2.6	11	17.46
2	6.46	22.5	23.3
2	1.75	8	10.56
2	1.6	6.5	7.3
1	4	15	20.55
2	2.46	10.5	11.3
1	0	45.2	52.55
2	11.79	32.5	39.96
2	1.7	8.5	9.3
2	1.33	6.5	7.3
2	1.59	8	8.8
2	0.91	6	8.16
2	3.68	13.5	21.31
2	2.15	9.5	10.3
2	17.8	50	57.35
2	19.68	60	67.35
2	3.07	12	12.8
2	3.12	12.5	17.29
2	0.87	5.5	6.3
2	2.56	11	14.55
2	0.72	4.5	5.8
2	1.38	8	11
2	3.21	13.5	16.44
2	1.67	8.5	9.3
2	1.68	8.5	11.62
2	3.6	14.5	21.66
2	3.44	12.5	22.05
2	1.25	7	9.36
2	10.55	46	46.8
1	0	28.2	35.55
2	2.9	11.5	15.05
2	4.51	16	23.46
2	5.7	17.5	18.3
2	3.21	16	19.55
1	0	44.2	51.55
2	1.12	6	8.16
2	1.03	6.5	7.3
2	0.73	4.5	5.3
